name,Quantity,min_players,max_players,avg_playing_time,adult_only,categories,difficulty,tutorial,image_url,description
UNO,2,2,10,30,No,Card Game,1,,https://cf.geekdo-images.com/-DHiHBBSnvaLu0Do8CIykQ__imagepage/img/597k5SluqBtv5Jy2M8mz70yGhkw=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8204165.jpg,A card game with the objective of reducing your hand to 0!
Arboretum,,2,4,30,No,Card Game; Number,2,https://youtu.be/C3fgcan5-T0,https://cf.geekdo-images.com/XYOn10oXBrDqHySf0jvnyQ__imagepage/img/lmO_FrT_tNp-fko34JUt7pkOi7M=/fit-in/900x600/filters:no_upscale():strip_icc()/pic4172124.png,A card game where you build paths of trees in ascending order to score points.
Herbaceous,,1,4,20,No,Card Game,1,https://youtu.be/TVfjDLeCAlo,https://cf.geekdo-images.com/0HHqYFhJvOwk8Z0Dt-EvTA__imagepage/img/_-D_woyATqzCFDdrZnGalgvCCpU=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7083274.jpg,A card game where you collect sets of herbs to fill your garden!
Playing cards,2,2,15,15,No,Card Game,1,,https://cf.geekdo-images.com/APsz5hbwZfFesAdQYgEgPw__imagepage/img/_Uan1yWFdWzmIoBHBHmWwnM37h0=/fit-in/900x600/filters:no_upscale():strip_icc()/pic111209.jpg,A deck of cards and your imagination!
Bananagrams,,1,8,15,No,Real-time; Word Game,1,https://youtu.be/EbjlKNBv_cA,https://cf.geekdo-images.com/1QjYPI4bXx4OUMJPlrsNBA__imagepage/img/KuhbjFA_sG11Ksrkli67Sz5MYGo=/fit-in/900x600/filters:no_upscale():strip_icc()/pic2463443.jpg,"A word game where players compete to build a word puzzle, similar to a crossword with their tiles"
Ultimate Werewolf,,5,68,60,No,Bluffing; Card Game; Deduction; Fantasy; Horror; Murder/Mystery; Negotiation; Party Game,3,https://youtu.be/1P6mgLUde48,https://cf.geekdo-images.com/PoIvN70fNYdwgeaap0CKqw__imagepage/img/Z3Vi58ujoEkEOO1RZbGB_5q3RCM=/fit-in/900x600/filters:no_upscale():strip_icc()/pic1849390.jpg,A social deduction where villagers and Werewolves attempt to kill each other
Jenga,,1,8,20,No,Action / Dexterity; Party Game,1,https://youtu.be/HqVI1YX0wcQ,https://cf.geekdo-images.com/YH5C06snaoJtDqKjwMROPw__imagepage/img/zC1J50A0Ohr0s1UR5eJhky2XxuM=/fit-in/900x600/filters:no_upscale():strip_icc()/pic5140451.jpg,Build a high tower but be careful or it will come crashing down!
Scrabble,,2,4,60,No,Word Game,2,https://youtu.be/swlg3vQXboE,https://i.ebayimg.com/images/g/xGQAAOSwN3hm6uIn/s-l1600.webp,A word game where players score points based on letter usage
Chess,,2,2,30,No,Abstract Strategy,3,,https://cf.geekdo-images.com/0-DjGBOko6RV8zg5ejhYIg__imagepage/img/bdoZX18SoSsYT4spmToiBtA9vnE=/fit-in/900x600/filters:no_upscale():strip_icc()/pic260745.jpg,A strategy game where players capture their oponents pieces and capture the king
Monopoly Deal,,2,3,15,No,Card Game,3,https://youtu.be/4IM7Wvtss0U,https://cf.geekdo-images.com/8kHMSAvFxf-ygPoTEf3lsg__imagepage/img/zuX0w_-mFuxWculoIbBhksS2HLc=/fit-in/900x600/filters:no_upscale():strip_icc()/pic716758.jpg,A card game where players compete to build 3 property sets
